 ,Area,X,Y,Perim.,Circ.,AR,Round,Solidity
111,3,0.833,76.833,5.657,1.000,1.464,0.683,0.857
112,1,328.500,76.500,2.828,1.000,1.000,1.000,1.000
113,1,269.500,77.500,2.828,1.000,1.000,1.000,1.000
114,3,276.833,77.833,5.657,1.000,1.464,0.683,0.857
115,5,241.700,80.100,7.657,1.000,1.553,0.644,0.909
116,49,317.031,82.296,28.142,0.777,2.015,0.496,0.867
117,16,367.125,83.875,18.485,0.588,2.659,0.376,0.842
118,16,392.188,82.312,13.899,1.000,1.292,0.774,0.889
119,3,0.500,82.500,6.828,0.809,3.000,0.333,1.000
120,2,216.500,82.000,4.828,1.000,2.000,0.500,1.000
121,61,52.664,90.664,31.213,0.787,1.876,0.533,0.847
122,4,59.000,86.000,5.657,1.000,1.000,1.000,1.000
123,28,10.821,89.964,20.142,0.867,1.305,0.766,0.824
124,1,232.500,86.500,2.828,1.000,1.000,1.000,1.000
125,14,310.786,88.000,12.485,1.000,1.020,0.981,0.933
126,1,236.500,87.500,2.828,1.000,1.000,1.000,1.000
127,3,212.500,89.500,6.828,0.809,3.000,0.333,1.000
128,99,372.773,94.742,50.184,0.494,1.369,0.731,0.680
129,6,204.000,90.500,7.657,1.000,1.500,0.667,1.000
130,19,390.395,94.447,17.314,0.796,1.805,0.554,0.826
131,11,224.591,93.864,11.071,1.000,1.372,0.729,0.957
132,3,352.833,92.833,5.657,1.000,1.464,0.683,0.857
133,4,247.000,94.000,5.657,1.000,1.000,1.000,1.000
134,9,202.278,96.056,11.314,0.884,1.158,0.864,0.750
135,30,296.000,97.000,19.314,1.000,1.445,0.692,0.938
136,5,174.500,96.500,8.485,0.873,1.000,1.000,0.714
137,12,235.000,97.000,11.314,1.000,1.000,1.000,0.857
138,1,282.500,96.500,2.828,1.000,1.000,1.000,1.000
139,21,37.500,99.500,15.314,1.000,1.000,1.000,0.913
140,9,178.500,98.500,9.657,1.000,1.000,1.000,1.000
141,4,197.000,98.500,7.657,0.857,2.031,0.492,0.800
142,7,356.500,98.786,9.071,1.000,1.069,0.936,0.875
143,3,31.833,98.833,5.657,1.000,1.464,0.683,0.857
144,11,54.773,101.318,14.728,0.637,2.049,0.488,0.629
145,17,94.618,101.088,13.899,1.000,1.263,0.792,0.919
146,10,185.000,100.500,10.485,1.000,1.551,0.645,0.909
147,2,398.500,100.000,4.828,1.000,2.000,0.500,1.000
148,3,4.167,101.833,5.657,1.000,1.464,0.683,0.857
149,26,11.038,104.577,18.728,0.932,1.449,0.690,0.881
150,12,24.167,104.500,13.314,0.851,1.414,0.707,0.750
151,23,80.500,105.674,16.485,1.000,1.008,0.992,0.958
152,3,295.167,103.833,5.657,1.000,1.464,0.683,0.857
153,6,267.667,105.667,8.485,1.000,1.291,0.775,0.800
154,9,134.056,106.722,11.314,0.884,1.158,0.864,0.750
155,4,46.750,107.500,7.657,0.857,1.468,0.681,0.800
156,6,93.500,107.000,7.657,1.000,1.500,0.667,1.000
157,14,234.929,110.786,13.899,0.911,1.563,0.640,0.848
158,10,186.000,110.500,10.485,1.000,1.551,0.645,0.909
159,18,74.167,112.167,15.314,0.965,1.076,0.930,0.857
160,1,84.500,111.500,2.828,1.000,1.000,1.000,1.000
161,44,273.000,114.091,26.385,0.794,1.600,0.625,0.854
162,1,305.500,111.500,2.828,1.000,1.000,1.000,1.000
163,3,108.167,113.833,5.657,1.000,1.464,0.683,0.857
164,8,45.625,115.375,9.071,1.000,1.229,0.814,0.941
165,4,63.000,115.000,5.657,1.000,1.000,1.000,1.000
166,7,212.500,116.214,9.071,1.000,1.069,0.936,0.875
167,6,226.000,116.500,7.657,1.000,1.500,0.667,1.000
168,8,217.375,117.375,9.071,1.000,1.229,0.814,0.941
169,1,51.500,117.500,2.828,1.000,1.000,1.000,1.000
170,10,349.800,120.200,11.314,0.982,1.241,0.806,0.800
171,6,360.500,119.000,7.657,1.000,1.500,0.667,1.000
172,10,393.800,120.200,11.314,0.982,1.241,0.806,0.800
173,17,96.382,122.088,13.899,1.000,1.263,0.792,0.919
174,3,159.833,120.833,5.657,1.000,1.464,0.683,0.857
175,2,20.500,122.000,4.828,1.000,2.000,0.500,1.000
176,5,117.300,121.900,7.071,1.000,1.553,0.644,0.909
177,4,47.250,123.500,7.657,0.857,1.468,0.681,0.800
178,22,328.000,124.227,16.142,1.000,1.176,0.850,0.880
179,2,366.500,123.000,4.828,1.000,2.000,0.500,1.000
180,19,27.342,125.974,18.142,0.725,1.591,0.628,0.760
181,4,181.000,126.000,5.657,1.000,1.000,1.000,1.000
182,19,160.553,128.711,15.314,1.000,1.159,0.863,0.864
183,12,266.000,128.000,11.314,1.000,1.000,1.000,0.857
184,9,16.944,128.611,9.899,1.000,1.817,0.550,0.857
185,2,130.500,128.000,4.828,1.000,2.000,0.500,1.000
186,58,48.345,133.621,30.042,0.808,1.586,0.631,0.847
187,55,114.391,133.500,27.799,0.894,1.515,0.660,0.859
188,8,256.000,130.500,9.899,1.000,1.195,0.837,0.800
189,4,62.000,131.000,5.657,1.000,1.000,1.000,1.000
190,27,367.981,133.315,18.971,0.943,1.288,0.777,0.818
191,1,154.500,131.500,2.828,1.000,1.000,1.000,1.000
192,2,351.500,132.000,4.828,1.000,2.000,0.500,1.000
193,27,341.130,135.685,20.971,0.772,1.276,0.784,0.806
194,1,322.500,135.500,2.828,1.000,1.000,1.000,1.000
195,4,352.000,137.000,5.657,1.000,1.000,1.000,1.000
196,2,358.000,136.500,4.243,1.000,2.000,0.500,1.000
197,14,153.429,138.929,15.314,0.750,1.753,0.570,0.757
198,7,228.786,139.071,10.485,0.800,1.668,0.600,0.778
199,3,382.167,138.167,5.657,1.000,1.464,0.683,0.857
200,10,94.000,139.500,10.485,1.000,1.551,0.645,0.909
201,32,182.812,141.156,20.142,0.991,1.231,0.812,0.901
202,7,160.500,140.786,9.071,1.000,1.069,0.936,0.875
203,1,376.500,140.500,2.828,1.000,1.000,1.000,1.000
204,1,130.500,141.500,2.828,1.000,1.000,1.000,1.000
205,1,151.500,143.500,2.828,1.000,1.000,1.000,1.000
206,1,218.500,143.500,2.828,1.000,1.000,1.000,1.000
207,3,297.833,143.833,5.657,1.000,1.464,0.683,0.857
208,9,200.056,146.833,10.485,1.000,1.536,0.651,0.857
209,18,271.000,147.167,14.728,1.000,1.549,0.645,0.857
210,3,73.500,146.500,6.243,0.967,3.000,0.333,1.000
211,1,68.500,147.500,2.828,1.000,1.000,1.000,1.000
212,12,103.167,148.833,13.899,0.781,1.943,0.515,0.750
213,4,117.000,149.000,5.657,1.000,1.000,1.000,1.000
214,34,122.706,152.118,21.556,0.919,1.178,0.849,0.872
215,3,18.167,150.167,5.657,1.000,1.464,0.683,0.857
216,9,150.167,151.611,10.485,1.000,1.340,0.746,0.857
217,22,82.773,153.682,18.142,0.840,1.778,0.563,0.815
218,18,142.167,154.222,15.314,0.965,1.442,0.694,0.878
219,4,178.500,154.250,7.071,1.000,1.468,0.681,0.800
220,12,331.000,155.500,11.657,1.000,1.333,0.750,1.000
221,2,385.500,156.000,4.828,1.000,2.000,0.500,1.000
222,56,319.500,162.268,31.213,0.722,1.573,0.636,0.824
223,1,49.500,157.500,2.828,1.000,1.000,1.000,1.000
224,1,195.500,157.500,2.828,1.000,1.000,1.000,1.000
225,1,326.500,157.500,2.828,1.000,1.000,1.000,1.000
226,47,85.011,163.819,29.799,0.665,2.626,0.381,0.825
227,4,352.000,159.000,5.657,1.000,1.000,1.000,1.000
228,17,172.794,161.853,15.314,0.911,1.454,0.688,0.850
229,8,190.625,160.375,9.071,1.000,1.229,0.814,0.941
230,5,186.100,161.300,7.657,1.000,1.553,0.644,0.909
231,6,309.333,161.667,8.485,1.000,1.291,0.775,0.800
232,8,345.625,161.375,9.071,1.000,1.229,0.814,0.941
233,16,12.312,163.125,13.899,1.000,1.568,0.638,0.914
234,14,366.214,163.000,12.485,1.000,1.020,0.981,0.933
235,2,260.000,162.500,4.243,1.000,2.000,0.500,1.000
236,7,304.214,163.500,8.485,1.000,1.069,0.936,0.875
237,1,1.500,163.500,2.828,1.000,1.000,1.000,1.000
238,11,394.864,164.591,11.071,1.000,1.372,0.729,0.957
239,3,48.167,165.167,5.657,1.000,1.464,0.683,0.857
240,5,278.700,165.100,7.657,1.000,1.553,0.644,0.909
241,1,290.500,164.500,2.828,1.000,1.000,1.000,1.000
242,2,108.000,165.500,4.243,1.000,2.000,0.500,1.000
243,17,178.500,167.147,14.728,0.985,1.044,0.957,0.850
244,17,210.735,167.441,14.142,1.000,1.288,0.776,0.829
245,1,247.500,165.500,2.828,1.000,1.000,1.000,1.000
246,15,190.100,168.100,13.071,1.000,1.137,0.880,0.968
247,3,45.167,169.167,5.657,1.000,1.464,0.683,0.857
248,1,163.500,168.500,2.828,1.000,1.000,1.000,1.000
249,9,139.611,170.833,10.485,1.000,1.340,0.746,0.857
250,100,362.260,175.230,39.213,0.817,1.510,0.662,0.909
